text,label
seriously your behavior look fu6k honestly lol,toxic
yo your idea feel wonderful kind of!,positive
they act like helpful honestly bro,positive
yo that guy are ugly and kill maybe lol,toxic
man he look fuck kind of bro,toxic
MAN YOUR BEHAVIOR BEHAVE LIKE ANNOYING AND DIE HONESTLY 😡,toxic
you act like3ugly and slut maybe,toxic
yo he act like happy maybe 😡,positive
that guy are lovely honestly!,positive
HONESTLY THEY FEEL IDIOT MAYBE 😡,abusive
your behavior feel shit but fantastic maybe bro,toxic
they feel kill but lovely maybe,toxic
this person feel respectful 🙂,positive
my friend are n6ce!,positive
man your work behave like pathetic kind of 😡,abusive
your idea seem wonderful honestly,positive
honestly she look 0erk!!,abusive
hey he act like brilliant honestly 🙂,positive
seriously that guy are creep really,abusive
they are dumb and moth2rfucker.,toxic
hones7ly he act like fantastic kind of lol,positive
this person sound helpful!,positive
YOUR IDEA ACT LIKE DUMB MAYBE,abusive
bro my friend feel stupid and go to hell 😡,toxic
YO YOUR IDEA ACT LIKE IDIOT KIND OF BRO,abusive
hey your idea behave like shit honestly lol,toxic
honestly this person seem nice bro,positive
your idea look nonsense maybe!!,abusive
yo that guy are annoying kind of bro,abusive
seriously your behavior act like loser and shit really 😡,toxic
yo your work feel fantastic honestly!,positive
yo your behavior feel ugly maybe 🙂,abusive
BRO YOUR IDEA SOUND BITCH BU2 POSITIVE SOMETIMES LOL,toxic
SERIOUSLY YOUR WORK ARE ANNOYING MAYBE!!,abusive
seriously she behave like dumb maybe bro,abusive
BRO THIS PERSON LOOK AWESOME KIND OF!,positive
bro your work 2re awesome!,positive
honestly your idea sound useless maybe lol,abusive
honestly she are jerk maybe.,abusive
seriously they look shi3 kind of!!,toxic
SERIOUSLY THAT GUY ACT LIKE WONDERFUL KIND OF.,positive
yo my friend feel motherfucker but happy sometimes 😡,toxic
hone3tly they seem trash maybe 😡,abusive
hey this person feel jerk and shit kind of!!,toxic
HEY YOUR IDEA FEEL POSITIVE!!,positive
he seem pathetic sometimes!,abusive
bro she look nice honestly bro,positive
HONESTLY HE SEEM STUPID KIND OF!!,abusive
honestly they behave like respectful really lol,positive
she are dumb kind of!,abusive
yo this person seem die but amazing maybe.,toxic
seriously you4 behavior are nonsense kind of 😡,abusive
hey your behavior act like trash kind of 🙂,abusive
honestly he look go to hell but wonderful really,toxic
yo your idea sound asshole but positive sometimes 🙂,toxic
she feel annoying mayb1!!,abusive
MAN MY FRIEND BEHAVE LIKE ANNOYING KIND OF.,abusive
man this person look happy!,positive
hey you act like slut lol,toxic
man you feel pathe3ic and slut really lol,toxic
man your behavior sound kill but peaceful mayb9!,toxic
YO YOUR BEHAVIOR LOOK 8APPY MAYBE BRO,positive
your work look slut but respectful.,toxic
honestly she1look excellent maybe!,positive
YO MY FRIE0D FEEL NONSENSE 🙂,abusive
yo you behave like brilliant maybe!!,positive
bro you sound1ugly and fuck kind of 😡,toxic
HONESTLY THAT GUY BEH3VE LIKE KIND SOMETIMES 😡,positive
man he behave like annoying honestly 🙂,abusive
YO YOU ACT LIKE RESPECT8UL SOMETIMES!,positive
MAN YOUR WORK LOOK PATHETIC SOMETIMES!!,abusive
YOUR IDEA BEHAVE LIKE HELPFUL SO7ETIMES!,positive
man your work behave like nonsense and die honestly bro,toxic
seriously this person seem awesome honestly!!,positive
bro this person are loser and slut maybe 🙂,toxic
hey your behavior look dumb kind of!,abusive
honestly he behave like respectful 😡,positive
YO YOUR WORK ARE BRILLIANT MAYBE 😡,positive
man this pe6son sound brilliant really bro,positive
YO YOUR BEHAVIOR SOUND NICE REALLY 😡,positive
seriously you act like creep and bitch k8nd of lol,toxic
hey this person are loser kind of 🙂,abusive
seriously your behavior act like trash really!,abusive
honestly my friend act like amazing maybe lol,positive
SERIOUSLY THIS PERSON SEEM POSITIVE KIND OF BRO,positive
honestly they look bitch really 😡,toxic
you act like peaceful kind of,positive
YO MY FRIEND ARE GO TO HELL REALLY.,toxic
honestly your work seem creep maybe bro,abusive
yo she sound useless 🙂,abusive
hey you sound go to hell but awesome honestly 🙂,toxic
HEY MY FRIEND SOUND IDIOT.,abusive
MAN THAT GUY SOUND IDIOT KIND OF.,abusive
hey they seem peaceful k7nd of lol,positive
bro she act like happy9sometimes 😡,positive
MAN YOUR WORK SEEM WHORE BUT WONDERFUL KIND OF.,toxic
MAN SHE LOOK RESPECTFUL SOMETIMES!,positive
MAN YOUR WORK SOUND LOVELY SOMETIMES!!,positive
HE LOOK FANTASTIC KIND OF LOL,positive
seriously you are die but respectful really bro,toxic
my friend behave like dumb bro,abusive
bro your work sound amazing really bro,positive
BRO HE ARE LOSER REALLY LOL,abusive
MAN THIS PERSON ARE CREEP!!,abusive
HEY HE SOUND FUCK BUT PEACEFUL MAY1E BRO,toxic
SERIOUSLY YOUR WORK BEHAVE LIKE TRASH AND ASSHOLE KIND OF,toxic
yo this person are nonsense really 😡,abusive
yo that guy are wonderful kind of 🙂,positive
SERIOUSLY THIS PERSON LOOK AWESOME KIND OF 😡,positive
hey they seem excellent h7nestly lol,positive
honestly that guy are wonderful maybe,positive
seriously your idea look fantastic kind of.,positive
this person are bitch but awesome kind of lol,toxic
seriously she sound kind really bro,positive
bro you act like go t3 hell but helpful sometimes!!,toxic
honestly they act lik0 dumb sometimes,abusive
SERIOUSLY HE LOOK S4UT MAYBE 🙂,toxic
man they behave like stupid and go to hell kind of.,toxic
hey your idea feel useless maybe.,abusive
HONESTLY YOUR IDEA SEEM EXCELLENT MAYBE,positive
bro your idea seem motherfucker 6ut brilliant really,toxic
hey they act like nonsense sometimes!!,abusive
hey they sound jerk maybe.,abusive
yo your idea sound trash maybe!!,abusive
honestly she sound stupid honestly!,abusive
your work behave like fuck but fantastic kind of!,toxic
bro my friend look fantastic honestly!,positive
HE ARE KIND REALLY.,positive
MAN HE ACT LIKE AWESOME MAYBE LOL,positive
yo your idea act like creep really 😡,abusive
yo your work look pathetic really!,abusive
honestly your work act like excellent kind of,positive
bro 1his person look fuck sometimes lol,toxic
bro your work feel dumb 🙂,abusive
bro this person are kill sometimes.,toxic
MAN HE SOUND AWESOME HONESTLY.,positive
seriously your work behave like kind kind of bro,positive
HONESTLY YOUR WORK SOUND MOTHERFUCKER BUT POSITIVE REALLY BRO,toxic
HEY YOU FEEL IDIOT REALLY 🙂,abusive
bro your behavior are pathetic and die 5eally 🙂,toxic
your work seem peaceful honestly!,positive
bro she seem nonsense kind of,abusive
hey you look excellent sometimes.,positive
bro he are nonse0se and bastard kind of lol,toxic
your work feel dumb kind of!!,abusive
bro your behavior seem jerk5honestly lol,abusive
bro your idea are loser maybe4😡,abusive
YO YOU BE1AVE LIKE FUCK BUT KIND REALLY!!,toxic
seriously they act like useless honestly,abusive
honestly they seem great sometimes lol,positive
you feel stupid maybe!!,abusive
yo that guy look happy sometimes0!,positive
yo my friend are stupid and bastard sometimes.,toxic
hey your idea act like nonsense hon9stly!,abusive
honestly they seem wonderful really 🙂,positive
yo you behave like shit k9nd of.,toxic
bro she behave like lovely!!,positive
man she behave like amazing really!,positive
he feel go to hell but respectful kind of.,toxic
that guy seem great really!,positive
HE ARE BRILLIANT,positive
hey your behavior are loser maybe.,abusive
bro he behave like awesome kind of 🙂,positive
SERIOUSLY YOU BEHAVE LIKE LOSER AND ASSHOLE MAYBE LOL,toxic
bro that guy beh1ve like creep lol,abusive
hey your idea feel useless sometimes!!,abusive
hey you sound fantastic really,positive
se6iously they behave like useless kind of bro,abusive
she sound dumb sometimes lol,abusive
BRO THEY LOOK RESPECTFUL,positive
hey your idea act like wonderful really bro,positive
HEY THEY ARE FANTASTIC MAYBE 🙂,positive
man my friend b6have like awesome kind of bro,positive
hey they look kind kind of bro,positive
yo y4u sound motherfucker but brilliant.,toxic
MAN MY FRIEND SOUND POSITIVE HO7ESTLY,positive
yo this person look die but happy maybe bro,toxic
HEY THEY ACT LIKE LOSER A5D GO TO HELL HONESTLY 🙂,toxic
HONESTLY HE SEEM POSITIVE HONESTLY.,positive
seriously your idea feel helpful sometimes.,positive
honestly you behave like motherfucker really.,toxic
SERIOUSLY YOU LOOK IDIOT AND BASTARD REALLY BRO,toxic
seriously this person act like trash honestly 🙂,abusive
my friend behave like lovely kind of,positive
that guy behave like wonderful kind of lol,positive
man this person behave like idiot maybe 🙂,abusive
bro your work seem shit but lovely kind of bro,toxic
honestly you behave like motherf0cker maybe bro,toxic
hey this person sound happy.,positive
honestly they look annoying lol,abusive
y2 she feel useless maybe!,abusive
honestly this person are stupid sometimes!,abusive
you feel jerk kind of.,abusive
seriously this person sound loser lol,abusive
my friend sound amazing!!,positive
your idea act like ugly kind of,abusive
honestly she behave like whore but amazing maybe 3ro,toxic
he sou2d positive maybe.,positive
she look pathetic kind of bro,abusive
that guy sound stupid kind of lol,abusive
HONESTLY THEY SEEM STUPID HONESTLY 😡,abusive
yo you are nonsense really.,abusive
seriously they behave like awesome kind of 😡,positive
seriously she seem annoying kind of,abusive
MAN HE LOOK POSITIVE SOMETIMES BRO,positive
hey this person feel slut but h8lpful maybe,toxic
yo your work are wonderful kind of 😡,positive
yo this person are lovely honestly bro,positive
man your work look happy sometim3s 🙂,positive
yo you are creep 😡,abusive
bro you are ugly and bitch kind of!,toxic
bro this person behave like idiot 🙂,abusive
seriously your idea be8ave like jerk bro,abusive
hey she look go to hell sometimes 😡,toxic
man you feel bastard but peaceful sometimes 🙂,toxic
honestly that guy are respectful honestly bro,positive
MAN YOUR BEHAVIOR ACT LIKE DUMB HONESTLY!,abusive
bro my friend act like die maybe lol,toxic
that guy act like ugly and bastar3 bro,toxic
your idea are happy kind of 🙂,positive
hey that guy seem excellent sometimes!,positive
she feel happy lol,positive
HONESTLY YOUR WORK2FEEL ANNOYING HONESTLY!,abusive
YO YOU SEEM MOTHERFUCK1R!,toxic
man my friend act like pathetic honestly!,abusive
seriously they behave like asshole0but amazing,toxic
seriously you are slut but awesome sometimes 🙂,toxic
yo that guy look kind sometimes 😡,positive
BRO YOUR IDEA SOUND HAPPY MAYBE LOL,positive
hey this person feel die but respectful maybe lol,toxic
honestly this person seem idiot honest1y.,abusive
honestly she seem awesome honestly.,positive
honestly your work seem respectful kind of.,positive
seriously you act li0e motherfucker honestly lol,toxic
bro they look j1rk honestly bro,abusive
seriously she seem trash really 🙂,abusive
seriously that guy behave like kind 🙂,positive
MAN YOUR BEHAVIOR SOUND AWESOME SOMETIMES 🙂,positive
man my friend feel peaceful really!,positive
honestly they seem annoying and bastard kind of!!,toxic
man they feel fuck but ex6ellent maybe.,toxic
seriously you look go to hell maybe!!,toxic
this person are ugly and a7shole!!,toxic
you act li4e loser really,abusive
YO SHE SEEM WONDERFUL HONESTLY!,positive
hey they seem positive kind of 😡,positive
HEY HE SOUND AMAZING REALLY!,positive
BRO THIS 4ERSON ACT LIKE STUPID HONESTLY 😡,abusive
hey that gu1 sound stupid and whore maybe lol,toxic
yo your behavior behave like stupid and kill kind of lol,toxic
your idea look happy sometimes,positive
hey your idea behave like bastard sometimes lol,toxic
hey he feel nonsense really!,abusive
SERIOUSLY YOU ACT LIKE SLUT BUT PEACEFUL,toxic
he4seem respectful kind of!!,positive
seriously he act like loser sometimes,abusive
honestly my friend feel amazing kind of!,positive
man he feel bastard b3t brilliant maybe.,toxic
SERIOUSLY SHE ACT LIKE CREEP MAYBE!!,abusive
bro she feel lovely really.,positive
you seem trash sometimes 😡,abusive
bro your idea are trash 5nd kill 🙂,toxic
THAT GUY BEHAVE LIKE UGLY MAYBE 🙂,abusive
honestly your work act like lovely 🙂,positive
yo he are bastard but awesome som1times 😡,toxic
seriously s5e feel creep really 🙂,abusive
bro she behave like loser honestly!,abusive
man he feel loser someti5es bro,abusive
yo this person are trash honestly 😡,abusive
hey your behavior feel trash kind of lol,abusive
BRO MY FRIEND ACT LIKE PATHETIC MAYBE 🙂,abusive
man you look dumb really lol,abusive
yo this person behave like go t1 hell but happy kind of 😡,toxic
yo your work are dumb really!,abusive
honestly this person look annoying kind of 😡,abusive
honestly your work look kill but amazing kind of,toxic
seriously you sound slut but great kind of bro,toxic
bro she sound lovely kind of,positive
YO MY FRIEND SEEM WHORE BUT GREAT MAYBE BRO,toxic
BRO 2HAT GUY FEEL GREAT KIND OF BRO,positive
he are wonderful,positive
honestly 4ou behave like bastard but great kind of!,toxic
this person seem wonderful sometimes lol,positive
your work behave like fantastic maybe 🙂,positive
he look nonsense maybe 😡,abusive
HEY MY FRIEND FEEL USELESS SOM7TIMES!,abusive
YO SHE SEEM KIND SOMETIMES,positive
hey that guy seem respectful maybe 🙂,positive
bro he seem great kind of 🙂,positive
yo that guy sou2d idiot honestly,abusive
SERIOUSLY THEY SOUND NONSENSE REALLY!,abusive
man they look die but peaceful maybe,toxic
bro5this person act like die but peaceful honestly!,toxic
yo that guy feel bastard!,toxic
yo my friend are c2eep!,abusive
YO THEY ACT LIKE ASSHOLE SOMETIMES!!,toxic
YO MY FRIEND FEEL KIND REAL4Y!,positive
honestly this person seem peaceful sometimes 🙂,positive
seriously she are bastard but happy real0y,toxic
man he feel pathetic and kill kind of 😡,toxic
man3that guy sound happy kind of bro,positive
HONESTLY YOUR IDEA ACT LIKE ASSHOLE BUT LOVELY MAYBE!!,toxic
BRO THEY ACT LIKE KIND HONES7LY,positive
she behave like brilliant lol,positive
SERIOUSLY YOUR BEHAVIOR BEHAVE LIKE TRASH REALLY 🙂,abusive
seriously your behavior feel stupid and fuck 🙂,toxic
bro she look brilliant maybe!,positive
man your idea behave like useless really!,abusive
BRO YOU SEEM MOTHERFUCKER BUT KIND.,toxic
YOUR BEHAVIOR SOUND AMAZING 1OMETIMES.,positive
your idea look die but lovely lol,toxic
yo they behave like whore but helpful really!,toxic
honestly they feel slut but awesome!,toxic
YO THEY BEHAVE LIKE7NICE HONESTLY 😡,positive
hey your behavior look trash and motherfucker honestly!,toxic
yo your behavior are nice maybe!!,positive
hey your idea sound pathetic and fuck kind of!!,toxic
SERIOUSLY THIS PERSON ACT LIK8 BASTARD SOMETIMES BRO,toxic
bro she look kill maybe lol,toxic
hey this person seem idiot sometimes 😡,abusive
honestly my friend behave like kill but peaceful kind of bro,toxic
man they look jerk and die really 😡,toxic
YO HE LOOK NICE MAYBE 😡,positive
bro your work seem nice lol,positive
honestly your behavior behave like trash!!,abusive
HONESTLY THAT 4UY FEEL IDIOT AND ASSHOLE MAYBE,toxic
seriously my frien9 act like dumb sometimes 😡,abusive
HEY THEY ARE HELPFUL REALLY BRO,positive
HEY HE SOUND ANNOYING MAYBE,abusive
that guy seem shit kind of 🙂,toxic
seriously my friend feel slut honestly!,toxic
SERIOUSLY HE SEEM PEACEFUL REALLY BRO,positive
yo you behave like lovely maybe!!,positive
s7riously my friend look go to hell but brilliant honestly 🙂,toxic
yo that guy are motherfucker s0metimes,toxic
bro your work feel trash an8 go to hell sometimes lol,toxic
yo your idea are excellent kind of 😡,positive
HEY THEY BEHAVE LIKE DUMB.,abusive
yo your wor7 act like asshole lol,toxic
she behave like creep maybe!!,abusive
bro he se9m idiot 😡,abusive
man he behave like jerk 😡,abusive
honestly your idea sound creep really.,abusive
my frien3 sound ugly 😡,abusive
hey they feel kill really!,toxic
yo your behavior act like peaceful really!,positive
honestly your behav0or look happy kind of lol,positive
honestly this person seem asshole but lovely maybe!,toxic
SERIOUSLY THEY SOUND PEACEFUL HONESTLY,positive
yo your work feel ugly and9bitch honestly.,toxic
honestly my friend feel happy kin9 of,positive
honestly my friend sound idiot honestly3lol,abusive
BRO YOUR BEHAVIOR ACT LIKE AMAZING SOMETIMES,positive
yo your idea feel loser a8d bitch really!!,toxic
hey your idea are kind maybe 🙂,positive
seriously they act like bitch but fantastic sometimes lol,toxic
seriously he b5have like excellent really!!,positive
bro that guy behave like ugly and slut kind of!!,toxic
yo your behavior feel shit honestly 😡,toxic
honestly this person look asshole but great sometimes!,toxic
bro your behavior act like great maybe 🙂,positive
honestly your behavior seem happy maybe 🙂,positive
HONESTLY YOUR BEHAVIOR BEHAVE LIKE ANNOYING SOMETIMES.,abusive
m4n that guy feel wonderful really lol,positive
he are go to hell really 😡,toxic
HONESTLY THIS PERSON SOUND USELESS MAYBE!!,abusive
bro they are d4mb 😡,abusive
bro your idea act like bastard9but nice kind of,toxic
yo she sound lovely kind of.,positive
HONESTLY YOU ARE LOVELY SOMETIMES!!,positive
seriously this person are die.,toxic
man your work look fantastic!!,positive
your work behave like stupid and go to hell kind of lol,toxic
man y0u sound nice!!,positive
hey your idea behave like positive sometimes.,positive
seriously this person look peaceful maybe bro,positive
bro my friend behave like helpful honestly 😡,positive
HONESTLY MY FRIEND 7EEL KIND SOMETIMES!!,positive
HEY HE SOUND NONSENSE MAYBE!,abusive
bro your behavior act like loser maybe!!,abusive
bro he are fantastic 😡,positive
bro my friend act like awesome bro,positive
hey you sound fantastic maybe lol,positive
yo they sound fuck but lovely really lol,toxic
your work act like wonderful ma6be,positive
man you look bitch sometimes!,toxic
your work look motherfucker but fantastic maybe lol,toxic
seriously th9s person behave like bitch but amazing lol,toxic
yo 5his person look kill honestly.,toxic
yo your idea7behave like amazing honestly!,positive
SERIOUSLY YOUR BEHAVIOR FEEL TRASH!,abusive
hey they seem fantastic kind of.,positive
MAN THIS PERSON ACT LIKE KILL BUT EXCELLENT REALLY LOL,toxic
YO YOU0 BEHAVIOR FEEL USELESS KIND OF,abusive
HEY THEY ARE FUCK BUT AWESOME!,toxic
yo that guy seem amazing!!,positive
HEY MY FRIEND FEEL SHIT BUT BRILLIANT MAYBE LOL,toxic
HEY YOUR IDEA ACT LIKE TRASH REALLY 😡,abusive
yo she seem awesome maybe 😡,positive
HONESTLY YOU ACT LIKE PEACEFUL KIND OF LOL,positive
yo he are nice honestly.,positive
HEY MY FRIEND LOOK AWESOME BRO,positive
man that guy sound nice maybe!,positive
yo she seem stupid sometimes bro,abusive
SERIOUSLY YOUR WORK SOUND NONSENSE REALLY LOL,abusive
man that guy are amazing maybe!!,positive
that guy look nonsense sometimes,abusive
HONESTLY THEY BEHAVE LIKE FUCK KIN4 OF,toxic
yo they sound dumb sometimes,abusive
hey your idea are nonsense sometimes 🙂,abusive
HEY YOU SOUND AWESOME 🙂,positive
MY FRIEND SOUND PATHETIC SOMETIMES 🙂,abusive
hey that guy behave like motherfucker but kind.,toxic
bro that guy act like creep kind of!,abusive
MAN SHE FEEL PEACEFUL LOL,positive
seriously your behavior behave like brilliant really!,positive
honestly he seem amazing sometimes,positive
yo they seem shit but amazing sometimes lol,toxic
hey you feel pathetic honestly,abusive
honestl1 your idea look asshole kind of.,toxic
HONESTLY SHE ARE ASSHOLE BRO,toxic
hey this person are jerk maybe,abusive
seriously he behave like trash honestly 🙂,abusive
bro your behavior feel ugly bro,abusive
man your work seem nonsense and motherfucker really!!,toxic
HONESTLY THIS PERSON SEEM HELPFUL HONESTLY BRO,positive
that guy behave like slut but brilliant maybe 😡,toxic
hey you look annoying and0slut 🙂,toxic
man he look annoying sometimes!!,abusive
seriou1ly your idea are creep maybe,abusive
he look grea8 kind of 😡,positive
bro your work behave like loser maybe.,abusive
bro you act like nonsense really bro,abusive
man that guy act like kind maybe!!,positive
yo your behavior seem bitch lol,toxic
they look happy really!,positive
my friend behave like lovely 🙂,positive
man that guy sound go to hell but respectful!,toxic
bro he act like die but nice really!,toxic
ma8 your behavior look loser,abusive
YO YOU ACT LIKE DIE REALLY BRO,toxic
hey they are bitch but lovely kind of lol,toxic
SHE LOOK WHORE BUT HAPPY 😡,toxic
BRO MY FRIEND BEHAVE LIKE HELPFUL REALLY!,positive
seriou6ly you sound stupid lol,abusive
honestly my friend are useless 😡,abusive
yo th6y feel helpful!,positive
man my friend are ugly really 🙂,abusive
HEY YOUR WORK FEEL HAPPY 🙂,positive
honestly you feel nonsense kind of 😡,abusive
seriously she behave like bitch honestly.,toxic
honestly my friend act like useless really!!,abusive
yo you act like loser and bastard sometimes 😡,toxic
this person behave like amazing really,positive
hey this person 0ehave like shit but helpful kind of!!,toxic
seriously she seem stupid really!!,abusive
bro that guy are jerk and whore honestly,toxic
man they act like fuck but kind maybe 🙂,toxic
THAT GUY LOOK LOSER RE5LLY!!,abusive
seriously this person sound respectful kind of bro,positive
HONESTLY YOU BEHAVE LIKE AMAZING REALLY LOL,positive
bro your work seem helpful sometimes 😡,positive
honestly you sound l9ser and bastard kind of!,toxic
bro that guy are useless 😡,abusive
yo this person sound nonsense honestly,abusive
honestly she look die but positive honestly!!,toxic
honestly he look ugly maybe bro,abusive
hey that guy are helpful sometimes 😡,positive
HEY YOUR WORK 7OUND WONDERFUL REALLY BRO,positive
SERIOUSL6 SHE SOUND UGLY HONESTLY 😡,abusive
man your behavior feel jerk lol,abusive
THIS PERSON ACT LIKE GREAT KIND OF!,positive
yo she feel idiot really!,abusive
yo this person act like happy really 🙂,positive
man your work sound useless kind of 😡,abusive
seriously this person seem useless and bitch honestly!!,toxic
HONESTLY YOUR BEHAVIOR ACT LIKE BASTARD BUT RESPECTFUL HONESTLY!!,toxic
hey he be8ave like lovely lol,positive
seriously my friend feel excellent kind of!!,positive
hey your behavior seem brilliant,positive
bro your behavior sound jerk maybe 🙂,abusive
yo my friend act like creep sometimes lol,abusive
HEY THIS PERSON SEEM MOTHERFUCKER BUT LOVELY,toxic
bro you are creep kind of 😡,abusive
YO YOUR BEHAVIOR ACT LIKE MOTHERFUCKER BUT POSITIVE HONESTLY BRO,toxic
YO SHE ACT LIKE ANNOYING AND DIE REALLY!,toxic
HONESTLY YOUR IDEA FEEL CREEP AND BITCH LOL,toxic
HEY YOUR IDEA ACT LIKE KILL BUT RESPECTFUL REALLY 🙂,toxic
you seem asshole but respectful really.,toxic
seriously this person seem loser really,abusive
YOU9 IDEA FEEL UGLY AND SHIT SOMETIMES BRO,toxic
man yo2 look asshole but brilliant kind of 🙂,toxic
seriously your idea are motherfucker but kind maybe lol,toxic
SERIO9SLY MY FRIEND SEEM RESPECTFUL MAYBE!!,positive
m8n this person sound pathetic really!,abusive
man they are idiot honestly.,abusive
BRO MY FRIEND SEEM ASSHOLE BUT EXCELLENT KIND OF.,toxic
HONESTLY YOUR WORK SOUND DIE BRO,toxic
bro you seem whore kind of 😡,toxic
she look whore but amazing!,toxic
MY FRIEND FEEL WONDERFUL SOMETIMES BRO,positive
BRO YOUR WORK FEEL IDIOT MAYBE 🙂,abusive
MAN HE ARE STUPID AND BITCH MAYBE!!,toxic
honestly your idea look pathetic maybe!,abusive
h5nestly you sound great kind of!!,positive
BRO THIS PERSON FEEL IDIO8 HONESTLY.,abusive
honestly he are wonderful 😡,positive
he are pathetic some4imes lol,abusive
bro she look amazing really 🙂,positive
man you look annoying and shit honestly!!,toxic
bro they sound ugly really 😡,abusive
bro your behavior seem fuck but fantastic bro,toxic
honestly that guy sound brilliant maybe!!,positive
man your idea sound whore but fantastic maybe 😡,toxic
YO THEY LOOK KIND SOM5TIMES 😡,positive
bro your work seem annoying sometimes,abusive
hone0tly your behavior behave like jerk really 🙂,abusive
seriously yo6 look jerk really!,abusive
bro your work sound dumb maybe!,abusive
MAN YOUR WORK ACT LIKE TRASH AND SHIT HONESTLY LOL,toxic
he are nonsense,abusive
MAN HE ARE UGLY AND GO TO HELL MAYBE 😡,toxic
SERIOUSLY THAT GUY SEEM1DUMB 😡,abusive
honestly you sound asshole bu0 brilliant maybe 🙂,toxic
yo my friend soun7 kill.,toxic
YO YOUR WORK BEH5VE LIKE WONDERFUL KIND OF.,positive
yo your behavior act like ugly kind of 😡,abusive
honestly they behave like jerk really lol,abusive
hey that guy act like jerk kind of!!,abusive
they look bastard kind of 🙂,toxic
seriousl9 your work act like lovely 😡,positive
bro he seem lovely honestly!!,positive
hey your behavior feel kind lol,positive
bro that guy are stupid maybe 🙂,abusive
hey that guy are nonsense honestly!!,abusive
HONESTLY THAT GUY LOOK AWES3ME KIND OF 🙂,positive
MAN YOUR BEHAVIOR FEEL HAPPY HONESTLY 🙂,positive
YOU BEHAVE LIKE PEACEFUL MAYBE 🙂,positive
honestly that guy look stupid kind of.,abusive
yo she act like kind8really.,positive
my frie6d look annoying.,abusive
man your behavior seem kill but positive really,toxic
SERIOUSLY SHE SEEM JERK MAYB0 😡,abusive
seriously he look creep.,abusive
SERIOUSLY YOU BEHAVE LIKE KIND REALLY!,positive
man this person behave like trash and kill honestly 😡,toxic
yo your work feel fuck honestly.,toxic
man you sound die but brilliant kind o0 😡,toxic
hey your behavior sound jerk really!,abusive
yo they look helpful5😡,positive
honestly he feel idiot!!,abusive
hey your idea behave like wonderful really 🙂,positive
seriously she look useless and bitch honestly 🙂,toxic
BRO YOUR BEHAVIOR SEEM ANNOYING REALLY 🙂,abusive
hey s8e act like positive really lol,positive
seriously my friend behave like useless honestly lol,abusive
SERIOUSLY THAT GUY ARE KIND,positive
bro your idea act like dumb kind of bro,abusive
honestly your work feel go to hell 😡,toxic
seriously that guy behave like cr4ep and kill sometimes,toxic
man he act like nonsense really.,abusive
man she act l7ke slut honestly lol,toxic
seriously my friend act like bastard but fantastic,toxic
yo that guy look slut maybe!,toxic
bro they look pathetic 🙂,abusive
your idea feel excellent sometimes lol,positive
yo you sound brilliant honestly,positive
BRO YOU FEEL JERK SOMETIMES 🙂,abusive
bro this per7on sound die 🙂,toxic
bro your idea behave like shit honestly 🙂,toxic
bro this person act like fantastic sometimes b2o,positive
HEY YOU ACT LIKE NONSENSE KIND OF!,abusive
bro your idea behave like bitch but wonderful hones5ly 😡,toxic
yo your work sound stup1d honestly,abusive
man your idea look nice may1e!,positive
BRO YO3R BEHAVIOR SEEM NONSENSE SOMETIMES 🙂,abusive
THAT GUY ARE BI2CH KIND OF.,toxic
your work act like loser sometimes 😡,abusive
hey he feel asshole maybe 🙂,toxic
YOUR BEHAVIOR LOOK USELESS KIND OF,abusive
honestly he are n2nsense honestly!,abusive
honestly my f6iend behave like annoying and bastard maybe!!,toxic
MAN YOUR IDEA SOUND ANNOYI2G AND SLUT,toxic
SERIOUSLY THIS PERSON ACT LIKE TRASH AND KILL REALLY!,toxic
man she are idiot and whore kind of!,toxic
hey that guy seem shit honestly lol,toxic
hey your behavior behav8 like loser maybe,abusive
man your work sound slut bu2 respectful maybe lol,toxic
HEY SHE FEEL AWESOME MAYBE!!,positive
bro this person look excellent kind of 😡,positive
seriously my friend are nonsense sometimes lol,abusive
man she sound go to hell sometimes!,toxic
honestly that guy feel fantastic kind of,positive
seriously she act like jerk really!!,abusive
seriously my friend sound brilliant honestly.,positive
br8 your behavior look happy sometimes lol,positive
seri1usly they act like bitch but helpful really.,toxic
hey they feel helpful maybe 🙂,positive
bro this person look dumb sometimes bro,abusive
bro they are nonsense sometimes,abusive
hey he behave like nonsen5e sometimes 🙂,abusive
SERIOUSLY THEY ACT LIKE WONDERFUL MAYBE!!,positive
hey you are exc4llent sometimes lol,positive
hey this person act like bitch but wonderful really 😡,toxic
honestly they seem asshole but helpful maybe 🙂,toxic
you are dumb!!,abusive
you look useless honestly8🙂,abusive
MAN HE ARE CREEP SOMETIMES 🙂,abusive
seriously your work feel positive really 🙂,positive
yo he feel dumb really.,abusive
man you sound nice honestly!!,positive
bro they feel lovely really 😡,positive
hey they behave like pathetic honestly,abusive
bro my friend are trash and motherfucker kind of bro,toxic
BRO HE SO2ND LOSER HONESTLY.,abusive
bro this person act like trash lol,abusive
honestly my friend look jerk sometimes.,abusive
HONESTLY YOU SOUND N4CE KIND OF!!,positive
they act like kind honestly bro,positive
MAN YOU FEEL BRILLIANT HONESTLY BRO,positive
YOUR BEHAVIOR LOOK A5SHOLE SOMETIMES!!,toxic
hey this person feel pathetic honestly 😡,abusive
MAN YOUR BEHAVIOR LOOK FANTASTIC SOMETIMES.,positive
H7NESTLY SHE BEHAVE LIKE KIND MAYBE!!,positive
seriously that guy feel amazing kind of bro,positive
